"Maker","Prod","ID","Desc","Color","Discon"
"Anchor","Emb","1034","Antique","5d758c","0"
"Anchor","Emb","150","Delft Blue - DK","152247","0"
"Anchor","Emb","1006","Cherry Red","9b0018","0"
"Anchor","Emb","228","Emerald - MED DK","0a762f","0"
"Anchor","Emb","1005","Cherry Red - MED","8d0821","0"
"Anchor","Emb","139","Wedgewood - DK","0d3c78","0"
"Anchor","Emb","27","Carnation - MED","f76b84","0"
"Anchor","Emb","885","Sand Stone - LT","f5e2b4","0"
"Anchor","Emb","78","Antique Rose - DK","a81258","0"
"Anchor","Emb","889","Sand Stone - MED DK","6f4b1a","0"
"Anchor","Emb","815","Pumice","777068","0"
"Anchor","Emb","259","Loden Green - VY LT","dee9a5","0"
"Anchor","Emb","390","Linen - LT","e5d7b8","0"
"Anchor","Emb","1064",,"4b8297","0"
"Anchor","Emb","210","Spruce - MED","287548","0"
"Anchor","Emb","1074",,"008373","0"
"Anchor","Emb","838","Haze","7d9d94","0"
"Anchor","Emb","1090",,"3ea9ea","0"
"Anchor","Emb","169","Surf Blue - MED","15718b","0"
"Anchor","Emb","1089",,"0088d3","0"
"Anchor","Emb","1041","Stone Gray - VY DK","3c362b","0"
"Anchor","Emb","1042","Pine - VY LT","bfdac0","0"
"Anchor","Emb","1038","Glacier Blue - MED","8bbdc7","0"
"Anchor","Emb","1040","Pewter - MED","888170","0"
"Anchor","Emb","1044","Grass Green - DK","173d13","0"
"Anchor","Emb","1050","Tawnyu - MED DK","694228","0"
"Anchor","Emb","148","Delft Blue - MED","082d63","0"
"Anchor","Emb","215","Juniper - MED LT","6a8e64","0"
"Anchor","Emb","231","Rose Gray - LT","c0b0aa","0"
"Anchor","Emb","189","Sea Green - DK","0e7d71","0"
"Anchor","Emb","188","Sea Green - MED DK","078b81","0"
"Anchor","Emb","186","Sea Green - MED LT","52bfac","0"
"Anchor","Emb","185","Sea Green - LT","81d6c4","0"
"Anchor","Emb","225","Emerald - LT","64b55d","0"
"Anchor","Emb","164","Sapphire - DK","094264","0"
"Anchor","Emb","848","Blue Mist","afbfba","0"
"Anchor","Emb","203","Mint Green - LT","7cc08c","0"
"Anchor","Emb","170","Surf Blue - DK","00556c","0"
"Anchor","Emb","168","Surf Blue - LT","599ea9","0"
"Anchor","Emb","167","Surf Blue - VY LT","8eccd3","0"
"Anchor","Emb","205","Mint Green - DK","349568","0"
"Anchor","Emb","178","Ocean Blue - DK","2f2b67","0"
"Anchor","Emb","233","Rose Gray","826e6d","0"
"Anchor","Emb","176","Ocean Blue","647da6","0"
