"Maker","Prod","ID","Desc","Hex","Discon"
"DMC","Emb","844","Ultra DK Beaver Gray","494842","0"
"DMC","Emb","868","Hazelnut Brown","995c30","0"
"DMC","Emb","869","V DK Hazelnut Brown","784c28","0"
"DMC","Emb","890","Ultra DK Pistachio Green","324233","0"
"DMC","Emb","891","DK Carnation","ee3246","0"
"DMC","Emb","892","MD Carnation","f44753","0"
"DMC","Emb","893","LT Carnation","f66879","0"
"DMC","Emb","894","V LT Carnation","fd95a3","0"
"DMC","Emb","895","V DK Hunter Green","344b2e","0"
"DMC","Emb","898","V DK Coffee Brown","532f1b","0"
"DMC","Emb","899","MD Rose","ea6b78","0"
"DMC","Emb","900","DK Burnt Orange","c63117","0"
"DMC","Emb","902","V DK Garnet","651329","0"
"DMC","Emb","904","V DK Parrot Green","386324","0"
"DMC","Emb","905","DK Parrot Green","467924","0"
"DMC","Emb","906","MD Parrot Green","6c9e29","0"
"DMC","Emb","907","LT Parrot Green","9dc72d","0"
"DMC","Emb","909","V DK Emerald Green","106b43","0"
"DMC","Emb","910","DK Emerald Green","10814e","0"
"DMC","Emb","911","MD Emerald Green","109256","0"
"DMC","Emb","912","LT Emerald Green","36b26b","0"
"DMC","Emb","913","MD Nile Green","55ca7d","0"
"DMC","Emb","915","DK Plum","95085a","0"
"DMC","Emb","917","MD Plum","ac1071","0"
"DMC","Emb","918","DK Red Copper","883630","0"
"DMC","Emb","919","Red Copper","9b371b","0"
"DMC","Emb","920","MD Copper","ab4836","0"
"DMC","Emb","921","Copper","c0573d","0"
"DMC","Emb","922","LT Copper","dd6e4c","0"
"DMC","Emb","924","V DK Gray Green","384a4a","0"
"DMC","Emb","926","MD Gray Green","617674","0"
"DMC","Emb","927","LT Gray Green","9fa8a5","0"
"DMC","Emb","928","V LT Gray Green","c0c6c0","0"
"DMC","Emb","930","DK Antique Blue","495c6b","0"
"DMC","Emb","931","MD Antique Blue","667684","0"
"DMC","Emb","932","LT Antique Blue","93a0af","0"
"DMC","Emb","934","Black Avocado Green","323324","0"
"DMC","Emb","935","DK Avocado Green","383a2a","0"
"DMC","Emb","936","V DK Avocado Green","3f4227","0"
"DMC","Emb","937","MD Avocado Green","434f2c","0"
"DMC","Emb","938","Ultra DK Coffee Brown","45271a","0"
"DMC","Emb","939","V DK Navy Blue","09092f","0"
"DMC","Emb","943","MD Aquamarine","009a77","0"
"DMC","Emb","945","Tawny","f6c19a","0"
"DMC","Emb","946","MD Burnt Orange","ed4115","0"
"DMC","Emb","947","Burnt Orange","fc4f16","0"
"DMC","Emb","948","V LT Peach","fde6d3","0"
"DMC","Emb","950","LT Desert Sand","e5ac8d","0"
